,171
A,"Laptop MSI Bravo 15 B5DD 060VN R5 5600H/8GB/512GB/RX5500M 4GB/15.6""FHD/Win 10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/msi-bravo-15-b5dd-060vn-r5-5600h-htm
C,19.990.000
D,1 máy
E,
F,
G,
H,AMD
I,Ryzen 5
J,5600H
K,3.30 GHz
L,
M,
N,
O,
P,
Q,8 GB
R,DDR4
S,
T,
U,
V,
W,
X,15.6 inch
Y,"IPS LCD LED Backlit, True Tone"
Z,1920 x 1080 Pixels
AA,
AB,
AC,
AD,
AE,
AF,
AG,
AH,
AI,
AJ,
AK,
AL,
AM,
AN,
AO,
AP,
AQ,
AR,
AS,
AT,
AU,
AV,
AW,
AX,
AY,
AZ,
BA,
BB,
BC,
BD,3 Cell
BE,
BF,
BG,Windows 10
BH,
BI,
BJ,
BK,
BL,
BM,
BN,
BO,
BP,
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
