,3645
A,"Laptop Lenovo Slim Yoga 7 Carbon 14ACN6 R7 5800U/16GB/1TB SSD/14"" 2.8K/Win 11"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/lenovo-slim-yoga-7-carbon-14acn6-r7-5800u-htm
C,35.990.000
D,3 máy
E,14.9 x 310 x 214 mm
F,1.1 kg
G,"Khung màn hình: Kính, Mặt bàn phím + kê tay: Hợp kim Magie và nhôm, Mặt bên ngoài cùng: Hợp kim Magie và nhôm, Mặt lưng máy: Nhôm"
H,
I,Ryzen 7
J,5800U
K,1.90 GHz
L,4.40 GHz
M,8
N,16
O,16 MB
P,
Q,16 GB
R,LPDDR4X
S,4266 MHz
T,0
U,0
V,1
W,16 GB
X,14.0 inch
Y,OLED
Z,2880 x 1800 Pixels
AA,LED
AB,90 Hz
AC,OLED
AD,400 nits
AE,16:10
AF,
AG,Không
AH,AMD
AI,Radeon
AJ,
AK,
AL,
AM,
AN,
AO,SSD
AP,
AQ,1
AR,0
AS,M2. PCIe
AT,1 TB
AU,"1 Jack 3.5 mm, 3 Type C"
AV,802.11 ax
AW,
AX,HD Webcam (720p Webcam)
AY,2
AZ,Chiclet Keyboard
BA,Không
BB,LED
BC,Trắng
BD,4 Cell
BE,61 W
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,Lenovo Vantage
BJ,Bản lề đôi
BK,100% DCI-P3
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,Dolby Audio
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
